Year,State,Month,Number of Fires,Date Reported
2003,Pará,July,1.571,1/01/2003
2004,Pará,July,4.436,1/01/2004
2005,Pará,July,4.364,1/01/2005
2006,Pará,July,615,1/01/2006
2007,Pará,July,476,1/01/2007
2008,Pará,July,971,1/01/2008
2009,Pará,July,397,1/01/2009
2010,Pará,July,1.432,1/01/2010
2011,Pará,July,632,1/01/2011
2012,Pará,July,661,1/01/2012
2013,Pará,July,447,1/01/2013
2014,Pará,July,825,1/01/2014
2015,Pará,July,906,1/01/2015
2016,Pará,July,1.579,1/01/2016
2017,Pará,July,4.985,1/01/2017
1998,Pará,August,6.815,1/01/1998
1999,Pará,August,6.178,1/01/1999
2000,Pará,August,5.484,1/01/2000
2001,Pará,August,9.043,1/01/2001
2002,Pará,August,15.664,1/01/2002
2003,Pará,August,6.255,1/01/2003
2004,Pará,August,12.812,1/01/2004
2005,Pará,August,13.055,1/01/2005
2006,Pará,August,7.575,1/01/2006
2007,Pará,August,14.352,1/01/2007
2008,Pará,August,4.435,1/01/2008
2009,Pará,August,3.859,1/01/2009
2010,Pará,August,18.13,1/01/2010
2011,Pará,August,2.195,1/01/2011
2012,Pará,August,6.964,1/01/2012
2013,Pará,August,2.161,1/01/2013
2014,Pará,August,8.555,1/01/2014
2015,Pará,August,7.913,1/01/2015
2016,Pará,August,4.863,1/01/2016
2017,Pará,August,11.962,1/01/2017
1998,Pará,September,6.237,1/01/1998
1999,Pará,September,4.419,1/01/1999
2000,Pará,September,2.569,1/01/2000
2001,Pará,September,6.139,1/01/2001
2002,Pará,September,5.609,1/01/2002
2003,Pará,September,8.447,1/01/2003
2004,Pará,September,9.471,1/01/2004
2005,Pará,September,9.032,1/01/2005
2006,Pará,September,8.372,1/01/2006
2007,Pará,September,14.59,1/01/2007
2008,Pará,September,6.294,1/01/2008
2009,Pará,September,6.051,1/01/2009
2010,Pará,September,10.81,1/01/2010
2011,Pará,September,5.185,1/01/2011
2012,Pará,September,6.87,1/01/2012
2013,Pará,September,3.36,1/01/2013
2014,Pará,September,6.787,1/01/2014
2015,Pará,September,11.068,1/01/2015
2016,Pará,September,3.953,1/01/2016
2017,Pará,September,25.004,1/01/2017
1998,Pará,October,3.665,1/01/1998
1999,Pará,October,5.026,1/01/1999
2000,Pará,October,4.313,1/01/2000
2001,Pará,October,5.096,1/01/2001
2002,Pará,October,5.189,1/01/2002
2003,Pará,October,3.803,1/01/2003
2004,Pará,October,4.726,1/01/2004
2005,Pará,October,5.083,1/01/2005
2006,Pará,October,5.964,1/01/2006
2007,Pará,October,2.504,1/01/2007
2008,Pará,October,6.653,1/01/2008
2009,Pará,October,6.342,1/01/2009
2010,Pará,October,3.843,1/01/2010
2011,Pará,October,3.141,1/01/2011
2012,Pará,October,3.714,1/01/2012
2013,Pará,October,4.921,1/01/2013
2014,Pará,October,6.448,1/01/2014
2015,Pará,October,7.781,1/01/2015
2016,Pará,October,5.281,1/01/2016
2017,Pará,October,7.628,1/01/2017
1998,Pará,November,1.861,1/01/1998
1999,Pará,November,2.682,1/01/1999
2000,Pará,November,3.366,1/01/2000
2001,Pará,November,4.938,1/01/2001
2002,Pará,November,7.996,1/01/2002
2003,Pará,November,6.195,1/01/2003
2004,Pará,November,9.842,1/01/2004
2005,Pará,November,4.968,1/01/2005
2006,Pará,November,2.883,1/01/2006
2007,Pará,November,2.89,1/01/2007
2008,Pará,November,2.403,1/01/2008
2009,Pará,November,10.012,1/01/2009
2010,Pará,November,4.417,1/01/2010
2011,Pará,November,3.043,1/01/2011
2012,Pará,November,6.156,1/01/2012
2013,Pará,November,3.688,1/01/2013
2014,Pará,November,7.767,1/01/2014
2015,Pará,November,9.643,1/01/2015
2016,Pará,November,7.879,1/01/2016
2017,Pará,November,9.079,1/01/2017
1998,Pará,December,1.008,1/01/1998
1999,Pará,December,766,1/01/1999
2000,Pará,December,1.698,1/01/2000
2001,Pará,December,2.564,1/01/2001
2002,Pará,December,3.118,1/01/2002
2003,Pará,December,4.787,1/01/2003
2004,Pará,December,5.508,1/01/2004
2005,Pará,December,1.495,1/01/2005
2006,Pará,December,1.417,1/01/2006
2007,Pará,December,689,1/01/2007
2008,Pará,December,684,1/01/2008
2009,Pará,December,2.832,1/01/2009
2010,Pará,December,1.612,1/01/2010
2011,Pará,December,3.218,1/01/2011
2012,Pará,December,1.812,1/01/2012
2013,Pará,December,5.514,1/01/2013
2014,Pará,December,4.828,1/01/2014
2015,Pará,December,6.61,1/01/2015
2016,Pará,December,3.3,1/01/2016
1998,Paraíba,January,0,1/01/1998
1999,Paraíba,January,26,1/01/1999
2000,Paraíba,January,0,1/01/2000
2001,Paraíba,January,11,1/01/2001
2002,Paraíba,January,5,1/01/2002
2003,Paraíba,January,70,1/01/2003
2004,Paraíba,January,33,1/01/2004
2005,Paraíba,January,178,1/01/2005
2006,Paraíba,January,83,1/01/2006
2007,Paraíba,January,69,1/01/2007
2008,Paraíba,January,77,1/01/2008
2009,Paraíba,January,115,1/01/2009
2010,Paraíba,January,46,1/01/2010
2011,Paraíba,January,11,1/01/2011
2012,Paraíba,January,61,1/01/2012
2013,Paraíba,January,38,1/01/2013
2014,Paraíba,January,75,1/01/2014
2015,Paraíba,January,42,1/01/2015
2016,Paraíba,January,18,1/01/2016
2017,Paraíba,January,23,1/01/2017
1998,Paraíba,February,0,1/01/1998
1999,Paraíba,February,2,1/01/1999
2000,Paraíba,February,11,1/01/2000
2001,Paraíba,February,6,1/01/2001
2002,Paraíba,February,18,1/01/2002
2003,Paraíba,February,3,1/01/2003
2004,Paraíba,February,3,1/01/2004
2005,Paraíba,February,15,1/01/2005
2006,Paraíba,February,7,1/01/2006
2007,Paraíba,February,7,1/01/2007
2008,Paraíba,February,20,1/01/2008
2009,Paraíba,February,9,1/01/2009
2010,Paraíba,February,15,1/01/2010
2011,Paraíba,February,5,1/01/2011
2012,Paraíba,February,15,1/01/2012
2013,Paraíba,February,9,1/01/2013
2014,Paraíba,February,6,1/01/2014
2015,Paraíba,February,15,1/01/2015
2016,Paraíba,February,4,1/01/2016
2017,Paraíba,February,8,1/01/2017
1998,Paraíba,March,0,1/01/1998
1999,Paraíba,March,1,1/01/1999
2000,Paraíba,March,5,1/01/2000
2001,Paraíba,March,0,1/01/2001
2002,Paraíba,March,3,1/01/2002
2003,Paraíba,March,0,1/01/2003
2004,Paraíba,March,3,1/01/2004
2005,Paraíba,March,13,1/01/2005
2006,Paraíba,March,4,1/01/2006
2007,Paraíba,March,1,1/01/2007
2008,Paraíba,March,8,1/01/2008
2009,Paraíba,March,2,1/01/2009
2010,Paraíba,March,16,1/01/2010
2011,Paraíba,March,6,1/01/2011
2012,Paraíba,March,4,1/01/2012
2013,Paraíba,March,3,1/01/2013
2014,Paraíba,March,18,1/01/2014
2015,Paraíba,March,7,1/01/2015
2016,Paraíba,March,1,1/01/2016
2017,Paraíba,March,2,1/01/2017
1998,Paraíba,April,0,1/01/1998
1999,Paraíba,April,3,1/01/1999
2000,Paraíba,April,1,1/01/2000
2001,Paraíba,April,0,1/01/2001
2002,Paraíba,April,1,1/01/2002
2003,Paraíba,April,0,1/01/2003
2004,Paraíba,April,3,1/01/2004
2005,Paraíba,April,2,1/01/2005
2006,Paraíba,April,0,1/01/2006
2007,Paraíba,April,0,1/01/2007
2008,Paraíba,April,0,1/01/2008
2009,Paraíba,April,1,1/01/2009
2010,Paraíba,April,2,1/01/2010
2011,Paraíba,April,2,1/01/2011
2012,Paraíba,April,13,1/01/2012
2013,Paraíba,April,6,1/01/2013
2014,Paraíba,April,8,1/01/2014
2015,Paraíba,April,11,1/01/2015
2016,Paraíba,April,1,1/01/2016
2017,Paraíba,April,1,1/01/2017
1998,Paraíba,May,0,1/01/1998
1999,Paraíba,May,0,1/01/1999
2000,Paraíba,May,0,1/01/2000
2001,Paraíba,May,4,1/01/2001
2002,Paraíba,May,1,1/01/2002
2003,Paraíba,May,0,1/01/2003
2004,Paraíba,May,1,1/01/2004
2005,Paraíba,May,0,1/01/2005
2006,Paraíba,May,0,1/01/2006
2007,Paraíba,May,0,1/01/2007
2008,Paraíba,May,0,1/01/2008
2009,Paraíba,May,0,1/01/2009
2010,Paraíba,May,10,1/01/2010
2011,Paraíba,May,0,1/01/2011
2012,Paraíba,May,10,1/01/2012
2013,Paraíba,May,3,1/01/2013
2014,Paraíba,May,1,1/01/2014
2015,Paraíba,May,6,1/01/2015
2016,Paraíba,May,1,1/01/2016
2017,Paraíba,May,1,1/01/2017
1998,Paraíba,June,3,1/01/1998
1999,Paraíba,June,1,1/01/1999
2000,Paraíba,June,2,1/01/2000
2001,Paraíba,June,0,1/01/2001
2002,Paraíba,June,1,1/01/2002
2003,Paraíba,June,0,1/01/2003
2004,Paraíba,June,0,1/01/2004
2005,Paraíba,June,0,1/01/2005
2006,Paraíba,June,0,1/01/2006
2007,Paraíba,June,0,1/01/2007
2008,Paraíba,June,0,1/01/2008
2009,Paraíba,June,0,1/01/2009
2010,Paraíba,June,3,1/01/2010
2011,Paraíba,June,2,1/01/2011
2012,Paraíba,June,5,1/01/2012
2013,Paraíba,June,3,1/01/2013
2014,Paraíba,June,1,1/01/2014
2015,Paraíba,June,0,1/01/2015
2016,Paraíba,June,4,1/01/2016
2017,Paraíba,June,0,1/01/2017
1998,Paraíba,July,0,1/01/1998
1999,Paraíba,July,1,1/01/1999
2000,Paraíba,July,0,1/01/2000
2001,Paraíba,July,8,1/01/2001
2002,Paraíba,July,8,1/01/2002
2003,Paraíba,July,6,1/01/2003
2004,Paraíba,July,1,1/01/2004
2005,Paraíba,July,0,1/01/2005
2006,Paraíba,July,1,1/01/2006
2007,Paraíba,July,1,1/01/2007
2008,Paraíba,July,0,1/01/2008
2009,Paraíba,July,3,1/01/2009
2010,Paraíba,July,7,1/01/2010
2011,Paraíba,July,6,1/01/2011
2012,Paraíba,July,5,1/01/2012
2013,Paraíba,July,1,1/01/2013
2014,Paraíba,July,9,1/01/2014
2015,Paraíba,July,3,1/01/2015
2016,Paraíba,July,22,1/01/2016
2017,Paraíba,July,2,1/01/2017
1998,Paraíba,August,3,1/01/1998
1999,Paraíba,August,4,1/01/1999
2000,Paraíba,August,7,1/01/2000
2001,Paraíba,August,34,1/01/2001
2002,Paraíba,August,38,1/01/2002
2003,Paraíba,August,14,1/01/2003
2004,Paraíba,August,18,1/01/2004
2005,Paraíba,August,0,1/01/2005
2006,Paraíba,August,3,1/01/2006
2007,Paraíba,August,8,1/01/2007
2008,Paraíba,August,1,1/01/2008
2009,Paraíba,August,4,1/01/2009
2010,Paraíba,August,9,1/01/2010
2011,Paraíba,August,12,1/01/2011
2012,Paraíba,August,13,1/01/2012
2013,Paraíba,August,3,1/01/2013
2014,Paraíba,August,30,1/01/2014
2015,Paraíba,August,5,1/01/2015
2016,Paraíba,August,50,1/01/2016
2017,Paraíba,August,3,1/01/2017
1998,Paraíba,September,50,1/01/1998
1999,Paraíba,September,14,1/01/1999
2000,Paraíba,September,9,1/01/2000
2001,Paraíba,September,98,1/01/2001
2002,Paraíba,September,63,1/01/2002
2003,Paraíba,September,81,1/01/2003
2004,Paraíba,September,34,1/01/2004
2005,Paraíba,September,13,1/01/2005
2006,Paraíba,September,27,1/01/2006
2007,Paraíba,September,22,1/01/2007
2008,Paraíba,September,21,1/01/2008
2009,Paraíba,September,28,1/01/2009
2010,Paraíba,September,37,1/01/2010
2011,Paraíba,September,55,1/01/2011
2012,Paraíba,September,71,1/01/2012
2013,Paraíba,September,25,1/01/2013
2014,Paraíba,September,51,1/01/2014
2015,Paraíba,September,48,1/01/2015
2016,Paraíba,September,131,1/01/2016
2017,Paraíba,September,30,1/01/2017
1998,Paraíba,October,179,1/01/1998
1999,Paraíba,October,48,1/01/1999
2000,Paraíba,October,125,1/01/2000
2001,Paraíba,October,279,1/01/2001
2002,Paraíba,October,193,1/01/2002
2003,Paraíba,October,381,1/01/2003
2004,Paraíba,October,190,1/01/2004
2005,Paraíba,October,155,1/01/2005
2006,Paraíba,October,135,1/01/2006
2007,Paraíba,October,111,1/01/2007
2008,Paraíba,October,80,1/01/2008
2009,Paraíba,October,117,1/01/2009
2010,Paraíba,October,150,1/01/2010
2011,Paraíba,October,200,1/01/2011
2012,Paraíba,October,136,1/01/2012
2013,Paraíba,October,58,1/01/2013
2014,Paraíba,October,70,1/01/2014
2015,Paraíba,October,121,1/01/2015
2016,Paraíba,October,304,1/01/2016
2017,Paraíba,October,123,1/01/2017
1998,Paraíba,November,46,1/01/1998
1999,Paraíba,November,38,1/01/1999
2000,Paraíba,November,65,1/01/2000
2001,Paraíba,November,294,1/01/2001
2002,Paraíba,November,238,1/01/2002
2003,Paraíba,November,538,1/01/2003
2004,Paraíba,November,331,1/01/2004
2005,Paraíba,November,280,1/01/2005
2006,Paraíba,November,215,1/01/2006
2007,Paraíba,November,256,1/01/2007
2008,Paraíba,November,175,1/01/2008
2009,Paraíba,November,428,1/01/2009
2010,Paraíba,November,451,1/01/2010
2011,Paraíba,November,359,1/01/2011
2012,Paraíba,November,130,1/01/2012
2013,Paraíba,November,95,1/01/2013
2014,Paraíba,November,111,1/01/2014
2015,Paraíba,November,206,1/01/2015
2016,Paraíba,November,132,1/01/2016
2017,Paraíba,November,101,1/01/2017
1998,Paraíba,December,51,1/01/1998
1999,Paraíba,December,40,1/01/1999
2000,Paraíba,December,34,1/01/2000
2001,Paraíba,December,70,1/01/2001
2002,Paraíba,December,163,1/01/2002
2003,Paraíba,December,288,1/01/2003
2004,Paraíba,December,351,1/01/2004
2005,Paraíba,December,159,1/01/2005
2006,Paraíba,December,196,1/01/2006
2007,Paraíba,December,133,1/01/2007
2008,Paraíba,December,187,1/01/2008
2009,Paraíba,December,270,1/01/2009
2010,Paraíba,December,65,1/01/2010
2011,Paraíba,December,179,1/01/2011
2012,Paraíba,December,62,1/01/2012
2013,Paraíba,December,78,1/01/2013
2014,Paraíba,December,62,1/01/2014
2015,Paraíba,December,122,1/01/2015
2016,Paraíba,December,8,1/01/2016
1998,Paraná,January,0,1/01/1998
1999,Paraná,January,7,1/01/1999
2000,Paraná,January,49,1/01/2000
2001,Paraná,January,32,1/01/2001
2002,Paraná,January,47,1/01/2002
2003,Paraná,January,109,1/01/2003
2004,Paraná,January,88,1/01/2004
2005,Paraná,January,55,1/01/2005
2006,Paraná,January,78,1/01/2006
2007,Paraná,January,11,1/01/2007
2008,Paraná,January,35,1/01/2008
2009,Paraná,January,35,1/01/2009
2010,Paraná,January,18,1/01/2010
2011,Paraná,January,35,1/01/2011
2012,Paraná,January,31,1/01/2012
2013,Paraná,January,28,1/01/2013
2014,Paraná,January,86,1/01/2014
2015,Paraná,January,120,1/01/2015
2016,Paraná,January,113,1/01/2016
2017,Paraná,January,55,1/01/2017
1998,Paraná,February,0,1/01/1998
1999,Paraná,February,22,1/01/1999
2000,Paraná,February,67,1/01/2000
2001,Paraná,February,8,1/01/2001
2002,Paraná,February,24,1/01/2002
2003,Paraná,February,46,1/01/2003
2004,Paraná,February,42,1/01/2004
2005,Paraná,February,77,1/01/2005
2006,Paraná,February,60,1/01/2006
2007,Paraná,February,32,1/01/2007
2008,Paraná,February,38,1/01/2008
2009,Paraná,February,21,1/01/2009
2010,Paraná,February,46,1/01/2010
2011,Paraná,February,8,1/01/2011
2012,Paraná,February,40,1/01/2012
2013,Paraná,February,9,1/01/2013
2014,Paraná,February,52,1/01/2014
2015,Paraná,February,58,1/01/2015
2016,Paraná,February,31,1/01/2016
2017,Paraná,February,60,1/01/2017
1998,Paraná,March,0,1/01/1998
1999,Paraná,March,40,1/01/1999
2000,Paraná,March,52,1/01/2000
2001,Paraná,March,12,1/01/2001
2002,Paraná,March,18,1/01/2002
2003,Paraná,March,76,1/01/2003
2004,Paraná,March,83,1/01/2004
2005,Paraná,March,84,1/01/2005
2006,Paraná,March,56,1/01/2006
2007,Paraná,March,54,1/01/2007
2008,Paraná,March,43,1/01/2008
2009,Paraná,March,57,1/01/2009
2010,Paraná,March,22,1/01/2010
2011,Paraná,March,21,1/01/2011
2012,Paraná,March,55,1/01/2012
2013,Paraná,March,18,1/01/2013
2014,Paraná,March,42,1/01/2014
2015,Paraná,March,55,1/01/2015
2016,Paraná,March,63,1/01/2016
2017,Paraná,March,43,1/01/2017
1998,Paraná,April,0,1/01/1998
1999,Paraná,April,39,1/01/1999
2000,Paraná,April,51,1/01/2000
2001,Paraná,April,43,1/01/2001
2002,Paraná,April,84,1/01/2002
2003,Paraná,April,130,1/01/2003
2004,Paraná,April,68,1/01/2004
2005,Paraná,April,22,1/01/2005
2006,Paraná,April,49,1/01/2006
2007,Paraná,April,14,1/01/2007
2008,Paraná,April,62,1/01/2008
2009,Paraná,April,80,1/01/2009
2010,Paraná,April,71,1/01/2010
2011,Paraná,April,38,1/01/2011
2012,Paraná,April,38,1/01/2012
2013,Paraná,April,72,1/01/2013
2014,Paraná,April,38,1/01/2014
2015,Paraná,April,83,1/01/2015
2016,Paraná,April,167,1/01/2016
2017,Paraná,April,77,1/01/2017
1998,Paraná,May,0,1/01/1998
1999,Paraná,May,57,1/01/1999
2000,Paraná,May,43,1/01/2000
2001,Paraná,May,26,1/01/2001
2002,Paraná,May,65,1/01/2002
2003,Paraná,May,115,1/01/2003
2004,Paraná,May,9,1/01/2004
2005,Paraná,May,125,1/01/2005
2006,Paraná,May,90,1/01/2006
2007,Paraná,May,14,1/01/2007
2008,Paraná,May,41,1/01/2008
2009,Paraná,May,117,1/01/2009
2010,Paraná,May,39,1/01/2010
2011,Paraná,May,97,1/01/2011
2012,Paraná,May,86,1/01/2012
2013,Paraná,May,85,1/01/2013
2014,Paraná,May,109,1/01/2014
2015,Paraná,May,77,1/01/2015
2016,Paraná,May,72,1/01/2016
2017,Paraná,May,49,1/01/2017
1998,Paraná,June,36,1/01/1998
1999,Paraná,June,31,1/01/1999
2000,Paraná,June,53,1/01/2000
2001,Paraná,June,43,1/01/2001
2002,Paraná,June,115,1/01/2002
2003,Paraná,June,159,1/01/2003
2004,Paraná,June,147,1/01/2004
2005,Paraná,June,114,1/01/2005
2006,Paraná,June,62,1/01/2006
2007,Paraná,June,57,1/01/2007
2008,Paraná,June,17,1/01/2008
2009,Paraná,June,105,1/01/2009
2010,Paraná,June,55,1/01/2010
2011,Paraná,June,162,1/01/2011
2012,Paraná,June,77,1/01/2012
2013,Paraná,June,52,1/01/2013
2014,Paraná,June,112,1/01/2014
2015,Paraná,June,201,1/01/2015
2016,Paraná,June,238,1/01/2016
2017,Paraná,June,169,1/01/2017
1998,Paraná,July,59,1/01/1998
1999,Paraná,July,94,1/01/1999
2000,Paraná,July,98,1/01/2000
2001,Paraná,July,122,1/01/2001
2002,Paraná,July,172,1/01/2002
2003,Paraná,July,101,1/01/2003
2004,Paraná,July,148,1/01/2004
2005,Paraná,July,155,1/01/2005
2006,Paraná,July,139,1/01/2006
2007,Paraná,July,60,1/01/2007
2008,Paraná,July,87,1/01/2008
2009,Paraná,July,34,1/01/2009
2010,Paraná,July,196,1/01/2010
2011,Paraná,July,262,1/01/2011
2012,Paraná,July,111,1/01/2012
2013,Paraná,July,168,1/01/2013
2014,Paraná,July,215,1/01/2014
2015,Paraná,July,137,1/01/2015
2016,Paraná,July,504,1/01/2016
2017,Paraná,July,891,1/01/2017
1998,Paraná,August,42,1/01/1998
1999,Paraná,August,938,1/01/1999
2000,Paraná,August,849,1/01/2000
2001,Paraná,August,342,1/01/2001
2002,Paraná,August,1.593,1/01/2002
2003,Paraná,August,1.896,1/01/2003
2004,Paraná,August,1.237,1/01/2004
2005,Paraná,August,800,1/01/2005
2006,Paraná,August,844,1/01/2006
2007,Paraná,August,580,1/01/2007
2008,Paraná,August,205,1/01/2008
2009,Paraná,August,844,1/01/2009
2010,Paraná,August,733,1/01/2010
2011,Paraná,August,435,1/01/2011
2012,Paraná,August,522,1/01/2012
2013,Paraná,August,481,1/01/2013
2014,Paraná,August,646,1/01/2014
2015,Paraná,August,651,1/01/2015
2016,Paraná,August,1.01,1/01/2016
2017,Paraná,August,987,1/01/2017
1998,Paraná,September,61,1/01/1998
1999,Paraná,September,878,1/01/1999
2000,Paraná,September,381,1/01/2000
2001,Paraná,September,258,1/01/2001
2002,Paraná,September,1.071,1/01/2002
2003,Paraná,September,2.446,1/01/2003
2004,Paraná,September,1.36,1/01/2004
2005,Paraná,September,386,1/01/2005
2006,Paraná,September,866,1/01/2006
2007,Paraná,September,960,1/01/2007
2008,Paraná,September,413,1/01/2008
2009,Paraná,September,149,1/01/2009
2010,Paraná,September,270,1/01/2010
2011,Paraná,September,913,1/01/2011
2012,Paraná,September,459,1/01/2012
2013,Paraná,September,476,1/01/2013
2014,Paraná,September,443,1/01/2014
2015,Paraná,September,599,1/01/2015
2016,Paraná,September,1.371,1/01/2016
2017,Paraná,September,1.706,1/01/2017
1998,Paraná,October,61,1/01/1998
1999,Paraná,October,452,1/01/1999
2000,Paraná,October,658,1/01/2000
2001,Paraná,October,209,1/01/2001
2002,Paraná,October,399,1/01/2002
2003,Paraná,October,1.228,1/01/2003
2004,Paraná,October,666,1/01/2004
2005,Paraná,October,157,1/01/2005
2006,Paraná,October,327,1/01/2006
2007,Paraná,October,194,1/01/2007
2008,Paraná,October,78,1/01/2008
2009,Paraná,October,424,1/01/2009
2010,Paraná,October,230,1/01/2010
2011,Paraná,October,256,1/01/2011
2012,Paraná,October,145,1/01/2012
2013,Paraná,October,233,1/01/2013
2014,Paraná,October,411,1/01/2014
2015,Paraná,October,158,1/01/2015
2016,Paraná,October,193,1/01/2016
2017,Paraná,October,134,1/01/2017
1998,Paraná,November,143,1/01/1998
1999,Paraná,November,447,1/01/1999
2000,Paraná,November,85,1/01/2000
2001,Paraná,November,89,1/01/2001
2002,Paraná,November,425,1/01/2002
2003,Paraná,November,503,1/01/2003
2004,Paraná,November,388,1/01/2004
2005,Paraná,November,597,1/01/2005
2006,Paraná,November,60,1/01/2006
2007,Paraná,November,59,1/01/2007
2008,Paraná,November,39,1/01/2008
2009,Paraná,November,90,1/01/2009
2010,Paraná,November,183,1/01/2010
2011,Paraná,November,138,1/01/2011
2012,Paraná,November,142,1/01/2012
2013,Paraná,November,126,1/01/2013
2014,Paraná,November,68,1/01/2014
2015,Paraná,November,18,1/01/2015
2016,Paraná,November,275,1/01/2016
2017,Paraná,November,292,1/01/2017
1998,Paraná,December,82,1/01/1998
1999,Paraná,December,254,1/01/1999
2000,Paraná,December,159,1/01/2000
2001,Paraná,December,85,1/01/2001
2002,Paraná,December,165,1/01/2002
2003,Paraná,December,171,1/01/2003
2004,Paraná,December,151,1/01/2004
2005,Paraná,December,40,1/01/2005
2006,Paraná,December,6,1/01/2006
2007,Paraná,December,22,1/01/2007
2008,Paraná,December,62,1/01/2008
2009,Paraná,December,30,1/01/2009
2010,Paraná,December,37,1/01/2010
2011,Paraná,December,78,1/01/2011
2012,Paraná,December,54,1/01/2012
2013,Paraná,December,155,1/01/2013
2014,Paraná,December,78,1/01/2014
2015,Paraná,December,30,1/01/2015
2016,Paraná,December,45,1/01/2016
1998,Pernambuco,January,0,1/01/1998
1999,Pernambuco,January,102,1/01/1999
2000,Pernambuco,January,3,1/01/2000
2001,Pernambuco,January,7,1/01/2001
2002,Pernambuco,January,10,1/01/2002
2003,Pernambuco,January,188,1/01/2003
2004,Pernambuco,January,29,1/01/2004
2005,Pernambuco,January,221,1/01/2005
2006,Pernambuco,January,148,1/01/2006
2007,Pernambuco,January,156,1/01/2007
2008,Pernambuco,January,170,1/01/2008
2009,Pernambuco,January,256,1/01/2009
2010,Pernambuco,January,47,1/01/2010
2011,Pernambuco,January,49,1/01/2011
2012,Pernambuco,January,146,1/01/2012
2013,Pernambuco,January,55,1/01/2013
2014,Pernambuco,January,99,1/01/2014
2015,Pernambuco,January,109,1/01/2015
2016,Pernambuco,January,24,1/01/2016
2017,Pernambuco,January,52,1/01/2017
1998,Pernambuco,February,0,1/01/1998
1999,Pernambuco,February,13,1/01/1999
2000,Pernambuco,February,4,1/01/2000
2001,Pernambuco,February,2,1/01/2001
2002,Pernambuco,February,19,1/01/2002
2003,Pernambuco,February,35,1/01/2003
2004,Pernambuco,February,8,1/01/2004
2005,Pernambuco,February,33,1/01/2005
2006,Pernambuco,February,41,1/01/2006
2007,Pernambuco,February,21,1/01/2007
2008,Pernambuco,February,48,1/01/2008
2009,Pernambuco,February,28,1/01/2009
2010,Pernambuco,February,33,1/01/2010
2011,Pernambuco,February,25,1/01/2011
2012,Pernambuco,February,64,1/01/2012
2013,Pernambuco,February,29,1/01/2013
2014,Pernambuco,February,25,1/01/2014
2015,Pernambuco,February,55,1/01/2015
2016,Pernambuco,February,19,1/01/2016
2017,Pernambuco,February,23,1/01/2017
1998,Pernambuco,March,0,1/01/1998
1999,Pernambuco,March,27,1/01/1999
2000,Pernambuco,March,14,1/01/2000
2001,Pernambuco,March,0,1/01/2001
2002,Pernambuco,March,24,1/01/2002
2003,Pernambuco,March,9,1/01/2003
2004,Pernambuco,March,6,1/01/2004
2005,Pernambuco,March,45,1/01/2005
2006,Pernambuco,March,18,1/01/2006
2007,Pernambuco,March,4,1/01/2007
2008,Pernambuco,March,32,1/01/2008
2009,Pernambuco,March,15,1/01/2009
2010,Pernambuco,March,59,1/01/2010
2011,Pernambuco,March,39,1/01/2011
2012,Pernambuco,March,44,1/01/2012
2013,Pernambuco,March,40,1/01/2013
2014,Pernambuco,March,36,1/01/2014
2015,Pernambuco,March,33,1/01/2015
2016,Pernambuco,March,4,1/01/2016
2017,Pernambuco,March,7,1/01/2017
1998,Pernambuco,April,0,1/01/1998
1999,Pernambuco,April,2,1/01/1999
2000,Pernambuco,April,1,1/01/2000
2001,Pernambuco,April,2,1/01/2001
2002,Pernambuco,April,5,1/01/2002
2003,Pernambuco,April,7,1/01/2003
2004,Pernambuco,April,5,1/01/2004
2005,Pernambuco,April,1,1/01/2005
2006,Pernambuco,April,2,1/01/2006
2007,Pernambuco,April,1,1/01/2007
2008,Pernambuco,April,5,1/01/2008
2009,Pernambuco,April,3,1/01/2009
2010,Pernambuco,April,2,1/01/2010
2011,Pernambuco,April,22,1/01/2011
2012,Pernambuco,April,46,1/01/2012
2013,Pernambuco,April,11,1/01/2013
2014,Pernambuco,April,10,1/01/2014
2015,Pernambuco,April,30,1/01/2015
2016,Pernambuco,April,8,1/01/2016
2017,Pernambuco,April,9,1/01/2017
1998,Pernambuco,May,0,1/01/1998
1999,Pernambuco,May,6,1/01/1999
2000,Pernambuco,May,7,1/01/2000
2001,Pernambuco,May,5,1/01/2001
2002,Pernambuco,May,13,1/01/2002
2003,Pernambuco,May,1,1/01/2003
2004,Pernambuco,May,2,1/01/2004
2005,Pernambuco,May,1,1/01/2005
2006,Pernambuco,May,1,1/01/2006
2007,Pernambuco,May,0,1/01/2007
2008,Pernambuco,May,0,1/01/2008
2009,Pernambuco,May,0,1/01/2009
2010,Pernambuco,May,8,1/01/2010
2011,Pernambuco,May,1,1/01/2011
2012,Pernambuco,May,36,1/01/2012
2013,Pernambuco,May,9,1/01/2013
2014,Pernambuco,May,4,1/01/2014
2015,Pernambuco,May,17,1/01/2015
2016,Pernambuco,May,6,1/01/2016
2017,Pernambuco,May,13,1/01/2017
1998,Pernambuco,June,1,1/01/1998
1999,Pernambuco,June,7,1/01/1999
2000,Pernambuco,June,4,1/01/2000
2001,Pernambuco,June,2,1/01/2001
2002,Pernambuco,June,1,1/01/2002
2003,Pernambuco,June,2,1/01/2003
2004,Pernambuco,June,4,1/01/2004
2005,Pernambuco,June,3,1/01/2005
2006,Pernambuco,June,0,1/01/2006
2007,Pernambuco,June,1,1/01/2007
2008,Pernambuco,June,0,1/01/2008
2009,Pernambuco,June,1,1/01/2009
2010,Pernambuco,June,1,1/01/2010
